        bh_dthr         |      bh_dthr_fim       | bh_chave | bh_variacao |   flag    | flagest | resnorm | rgalr | valest  |  valor  
 2020-02-03 00:11:36-03 | 2020-02-03 00:11:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14772.5 | 14779.2
 2020-02-03 00:11:40-03 | 2020-02-03 00:11:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14772.5 | 14793.6
 2020-02-03 00:11:48-03 | 2020-02-03 00:11:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14772.5 | 14779.2
 2020-02-03 00:11:56-03 | 2020-02-03 00:12:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14779.2 |   14773
 2020-02-03 00:12:00-03 | 2020-02-03 00:12:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14779.2 | 14776.6
 2020-02-03 00:12:04-03 | 2020-02-03 00:12:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14779.2 | 14770.9
 2020-02-03 00:12:08-03 | 2020-02-03 00:12:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14779.2 | 14777.6
 2020-02-03 00:12:12-03 | 2020-02-03 00:12:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14779.2 | 14772.4
 2020-02-03 00:12:16-03 | 2020-02-03 00:12:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14772.4 | 14769.9
 2020-02-03 00:12:20-03 | 2020-02-03 00:12:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14772.4 | 14770.3
 2020-02-03 00:12:24-03 | 2020-02-03 00:12:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14772.4 | 14762.8
 2020-02-03 00:12:28-03 | 2020-02-03 00:12:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14772.4 | 14763.8
 2020-02-03 00:12:32-03 | 2020-02-03 00:12:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14772.4 | 14751.5
 2020-02-03 00:12:36-03 | 2020-02-03 00:12:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14751.5 |   14744
 2020-02-03 00:12:40-03 | 2020-02-03 00:12:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14751.5 |   14734
 2020-02-03 00:12:44-03 | 2020-02-03 00:12:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14751.5 | 14729.3
 2020-02-03 00:12:48-03 | 2020-02-03 00:12:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14751.5 | 14731.3
 2020-02-03 00:12:52-03 | 2020-02-03 00:12:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14751.5 | 14728.5
 2020-02-03 00:12:56-03 | 2020-02-03 00:13:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14728.5 | 14728.4
 2020-02-03 00:13:00-03 | 2020-02-03 00:13:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14728.5 | 14729.2
 2020-02-03 00:13:04-03 | 2020-02-03 00:13:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14728.5 | 14713.7
 2020-02-03 00:13:08-03 | 2020-02-03 00:13:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14728.5 | 14712.3
 2020-02-03 00:13:12-03 | 2020-02-03 00:13:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14728.5 | 14742.5
 2020-02-03 00:13:16-03 | 2020-02-03 00:13:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14742.5 | 14745.2
 2020-02-03 00:13:20-03 | 2020-02-03 00:13:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14742.5 | 14744.3
 2020-02-03 00:13:24-03 | 2020-02-03 00:13:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14742.5 | 14742.8
 2020-02-03 00:13:32-03 | 2020-02-03 00:13:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14742.5 | 14742.7
 2020-02-03 00:13:36-03 | 2020-02-03 00:13:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14742.7 | 14741.3
 2020-02-03 00:13:40-03 | 2020-02-03 00:13:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14742.7 | 14725.6
 2020-02-03 00:13:48-03 | 2020-02-03 00:13:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14742.7 | 14717.4
 2020-02-03 00:13:52-03 | 2020-02-03 00:14:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14742.7 | 14722.3
 2020-02-03 00:14:00-03 | 2020-02-03 00:14:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14722.3 | 14710.6
 2020-02-03 00:14:08-03 | 2020-02-03 00:14:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14722.3 | 14705.9
 2020-02-03 00:14:12-03 | 2020-02-03 00:14:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14722.3 | 14707.8
 2020-02-03 00:14:16-03 | 2020-02-03 00:14:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14707.8 |   14707
 2020-02-03 00:14:20-03 | 2020-02-03 00:14:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14707.8 | 14723.5
 2020-02-03 00:14:24-03 | 2020-02-03 00:14:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14707.8 | 14725.1
 2020-02-03 00:14:28-03 | 2020-02-03 00:14:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14707.8 | 14726.6
 2020-02-03 00:14:32-03 | 2020-02-03 00:14:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14707.8 | 14726.8
 2020-02-03 00:14:36-03 | 2020-02-03 00:14:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14726.8 | 14721.6
 2020-02-03 00:14:40-03 | 2020-02-03 00:14:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14726.8 | 14723.9
 2020-02-03 00:14:48-03 | 2020-02-03 00:14:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14726.8 | 14721.4
 2020-02-03 00:14:56-03 | 2020-02-03 00:15:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14721.4 | 14727.7
 2020-02-03 00:15:00-03 | 2020-02-03 00:15:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14721.4 | 14732.6
 2020-02-03 00:15:08-03 | 2020-02-03 00:15:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14721.4 | 14726.2
 2020-02-03 00:15:16-03 | 2020-02-03 00:15:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14726.2 | 14708.2
 2020-02-03 00:15:24-03 | 2020-02-03 00:15:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14726.2 | 14704.3
 2020-02-03 00:15:28-03 | 2020-02-03 00:15:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14726.2 |   14704
 2020-02-03 00:15:32-03 | 2020-02-03 00:15:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14726.2 | 14703.7
 2020-02-03 00:15:36-03 | 2020-02-03 00:15:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   14704 | 14697.5
 2020-02-03 00:15:44-03 | 2020-02-03 00:15:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   14704 | 14717.5
